table_abbrev,spec,sample,outcome,full_audits_column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"baseline","Baseline replication","Full sample","P(Execution)","1","-0.17","***","0.03","944","0.26","table4_main_outcomes_replicated.tex"
"baseline","Baseline replication","Full sample","P(Detection | Execution)","4","0.02","","0.03","508","0.11","table4_main_outcomes_replicated.tex"
"baseline","Baseline replication","Full sample","log(Evasion) | Detection","7","-0.65","***","0.18","457","0.32","table4_main_outcomes_replicated.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","P(Execution)","1","-0.15","***","0.04","704","0.23","table4_main_outcomes_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","P(Detection | Execution)","4","0.02","","0.03","413","0.09","table4_main_outcomes_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","log(Evasion) | Detection","7","-0.85","***","0.19","377","0.31","table4_main_outcomes_replicated_ltu_medium.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","P(Execution)","1","-0.16","***","0.04","646","0.17","table4_main_outcomes_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","P(Detection | Execution)","4","0.01","","0.03","407","0.10","table4_main_outcomes_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","log(Evasion) | Detection","7","-0.76","***","0.21","359","0.30","table4_main_outcomes_replicated_selectionyear_2018_2019.tex"
"15 bins of pred evasion","Predicted-evasion 15-bin controls","Full sample","P(Execution)","1","-0.09","***","0.03","944","0.37","table4_main_outcomes_yhatrf_15bins_control.tex"
"15 bins of pred evasion","Predicted-evasion 15-bin controls","Full sample","P(Detection | Execution)","4","0.03","**","0.02","508","0.77","table4_main_outcomes_yhatrf_15bins_control.tex"
"15 bins of pred evasion","Predicted-evasion 15-bin controls","Full sample","log(Evasion) | Detection","7","0.15","","0.12","457","0.77","table4_main_outcomes_yhatrf_15bins_control.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","P(Execution)","1","-0.06","*","0.03","704","0.37","table4_main_outcomes_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.04","**","0.02","413","0.76","table4_main_outcomes_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.11","","0.12","377","0.77","table4_main_outcomes_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","P(Execution)","1","-0.07","*","0.04","646","0.32","table4_main_outcomes_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.04","**","0.02","407","0.77","table4_main_outcomes_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","0.02","","0.14","359","0.77","table4_main_outcomes_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","P(Execution)","1","-0.08","***","0.03","944","0.38","table4_main_outcomes_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","P(Detection | Execution)","4","0.04","**","0.02","508","0.78","table4_main_outcomes_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","log(Evasion) | Detection","7","0.15","","0.12","457","0.78","table4_main_outcomes_yhatrf_20bins_control.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","P(Execution)","1","-0.06","*","0.03","704","0.36","table4_main_outcomes_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.05","**","0.02","413","0.76","table4_main_outcomes_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.14","","0.12","377","0.78","table4_main_outcomes_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","P(Execution)","1","-0.07","*","0.04","646","0.33","table4_main_outcomes_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.05","**","0.02","407","0.78","table4_main_outcomes_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","0.02","","0.14","359","0.78","table4_main_outcomes_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","P(Execution)","1","-0.09","***","0.03","944","0.39","table4_main_outcomes_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","P(Detection | Execution)","4","0.03","*","0.02","508","0.80","table4_main_outcomes_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","log(Evasion) | Detection","7","0.17","","0.12","457","0.79","table4_main_outcomes_yhatrf_40bins_control.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","P(Execution)","1","-0.06","*","0.04","704","0.38","table4_main_outcomes_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.04","**","0.02","413","0.79","table4_main_outcomes_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.16","","0.12","377","0.80","table4_main_outcomes_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","P(Execution)","1","-0.07","*","0.04","646","0.35","table4_main_outcomes_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.04","**","0.02","407","0.81","table4_main_outcomes_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","0.06","","0.14","359","0.79","table4_main_outcomes_yhatrf_40bins_control_selectionyear_2018_2019.tex"
