table_abbrev,spec,sample,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"baseline","Baseline replication","Full sample","Number of Agents","1","-0.26","***","0.08","508","0.21","table5_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","Duration in Days (Taxpayer Survey)","2","-8.54","**","3.72","214","0.25","table5_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","Days from Start to Conf. (Admin Data)","3","-30.18","**","13.75","282","0.30","table5_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","Days Working on Case (Self-Reported)","4","-27.26","","30.60","51","0.25","table5_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","Evasion / Number of Agents","5","-0.55","***","0.18","457","0.31","table5_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","Evasion / Duration (Taxpayer Survey)","6","-0.12","","0.39","98","0.24","table5_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","Evasion / Duration (Admin Data)","7","-0.50","*","0.26","253","0.25","table5_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","Evasion / Days Working (Self-Reported)","8","-0.74","","0.49","40","0.40","table5_fullaudits_replicated.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Number of Agents","1","-0.35","***","0.08","413","0.22","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-7.10","*","3.70","167","0.21","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-28.75","**","14.35","252","0.30","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-24.22","","39.53","37","0.08","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Evasion / Number of Agents","5","-0.72","***","0.18","377","0.30","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","-0.11","","0.41","88","0.21","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","-0.52","*","0.27","228","0.19","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","-0.73","","0.56","31","0.34","table5_fullaudits_replicated_ltu_medium.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","Number of Agents","1","-0.27","***","0.09","407","0.19","table5_fullaudits_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-12.89","*","7.68","85","0.25","table5_fullaudits_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-26.58","*","15.57","243","0.29","table5_fullaudits_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-27.26","","30.60","51","0.25","table5_fullaudits_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","Evasion / Number of Agents","5","-0.66","***","0.21","359","0.29","table5_fullaudits_replicated_selectionyear_2018_2019.tex"
