table_abbrev,spec,sample,panel,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"baseline","Baseline replication","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.41","***","0.15","199","0.10","table6_indices_replicated.tex"
"baseline","Baseline replication","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","0.05","","0.15","199","0.11","table6_indices_replicated.tex"
"baseline","Baseline replication","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.36","","0.26","89","0.10","table6_indices_replicated.tex"
"baseline","Baseline replication","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.29","","0.24","88","0.16","table6_indices_replicated.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.57","***","0.19","149","0.11","table6_indices_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","0.03","","0.17","148","0.09","table6_indices_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.49","*","0.28","78","0.11","table6_indices_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.27","","0.26","77","0.11","table6_indices_replicated_ltu_medium.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.04","","0.24","68","0.12","table6_indices_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","0.01","","0.24","68","0.15","table6_indices_replicated_selectionyear_2018_2019.tex"
