table_abbrev,spec,sample,outcome,model_column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"baseline","Baseline replication","Full sample","P(Execution)","5","-0.115","***","0.030","944","0.344","table8_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","P(Detection | Execution)","5","0.027","","0.030","508","0.137","table8_fullaudits_replicated.tex"
"baseline","Baseline replication","Full sample","log(Evasion) | Detection","5","-0.532","***","0.186","457","0.406","table8_fullaudits_replicated.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","P(Execution)","5","-0.108","***","0.035","704","0.327","table8_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","P(Detection | Execution)","5","0.018","","0.031","413","0.127","table8_fullaudits_replicated_ltu_medium.tex"
"baseline + LTU/Medium only","Baseline replication","LTU and medium tax centers only","log(Evasion) | Detection","5","-0.710","***","0.189","377","0.401","table8_fullaudits_replicated_ltu_medium.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","P(Execution)","5","-0.111","***","0.036","646","0.287","table8_fullaudits_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","P(Detection | Execution)","5","0.020","","0.035","407","0.123","table8_fullaudits_replicated_selectionyear_2018_2019.tex"
"baseline + only 2018/2019","Baseline replication","Selection years 2018/2019 only","log(Evasion) | Detection","5","-0.702","***","0.219","359","0.387","table8_fullaudits_replicated_selectionyear_2018_2019.tex"
"15 bins of pred evasion","Predicted-evasion 15-bin controls","Full sample","P(Execution)","6","-0.072","**","0.029","944","0.405","table8_fullaudits_yhatrf_15bins_control.tex"
"15 bins of pred evasion","Predicted-evasion 15-bin controls","Full sample","P(Detection | Execution)","6","0.031","*","0.016","508","0.787","table8_fullaudits_yhatrf_15bins_control.tex"
"15 bins of pred evasion","Predicted-evasion 15-bin controls","Full sample","log(Evasion) | Detection","6","0.081","","0.123","457","0.787","table8_fullaudits_yhatrf_15bins_control.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","P(Execution)","6","-0.062","*","0.034","704","0.404","table8_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","P(Detection | Execution)","6","0.032","*","0.017","413","0.784","table8_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","6","0.039","","0.125","377","0.796","table8_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","P(Execution)","6","-0.053","","0.036","646","0.368","table8_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","6","0.039","**","0.018","407","0.790","table8_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.075","","0.143","359","0.786","table8_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","P(Execution)","6","-0.071","**","0.029","944","0.410","table8_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","P(Detection | Execution)","6","0.033","**","0.016","508","0.791","table8_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","log(Evasion) | Detection","6","0.088","","0.120","457","0.799","table8_fullaudits_yhatrf_20bins_control.tex"
