"scenario_id","scenario_label","selection_method","audit_type","training_rows_amount","selected_rows_2018_2019","executed_rows_2018_2019","optimized_rows_2018_2019","overlap_rows_2018_2019","rows_2020_in_table","panel_c_uses_amount_yhatrf","selected_bin_count","selected_bin_label","bin_selection_rule","total_training_lists","min_cases_per_bin","max_cases_per_bin","singleton_bins","empty_bins","bin_training_rows","high_bin_rows","target_grouping","min_executed_observed_cases_list","max_executed_observed_cases_list"
"A1","A1: Current weighted two-step amount prediction, all cases","amount","Full Audits",407,646,407,407,264,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","A1: Current weighted two-step amount prediction, all cases","amount","Desk Audits",857,1707,857,857,519,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2","A2: Weighted two-step amount prediction, excluding top five realized cases","amount","Full Audits",402,641,402,402,258,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2","A2: Weighted two-step amount prediction, excluding top five realized cases","amount","Desk Audits",852,1702,852,852,518,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3","A3: Unweighted one-step amount prediction, excluding top five realized cases","amount","Full Audits",402,641,402,402,317,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3","A3: Unweighted one-step amount prediction, excluding top five realized cases","amount","Desk Audits",852,1702,852,852,613,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","C1: Direct top-half-target selection, valued with A1 amount prediction","bin","Full Audits",407,646,407,407,257,0,TRUE,2,"Halves","Fixed Halves",11,3,67,0,0,508,257,"controle x bureau_detailed",7,133
"C1","C1: Direct top-half-target selection, valued with A1 amount prediction","bin","Desk Audits",857,1707,857,857,574,0,TRUE,2,"Halves","Fixed Halves",11,9,147,0,0,1011,509,"controle x bureau_detailed",19,294
"C2","C2: Direct top-half-target selection, valued with A2 amount prediction","bin","Full Audits",402,641,402,402,253,0,TRUE,2,"Halves","Fixed Halves",11,3,67,0,0,503,254,"controle x bureau_detailed",7,133
"C2","C2: Direct top-half-target selection, valued with A2 amount prediction","bin","Desk Audits",852,1702,852,852,572,0,TRUE,2,"Halves","Fixed Halves",11,9,147,0,0,1006,505,"controle x bureau_detailed",18,294
"C3","C3: Direct top-half-target selection, valued with A3 amount prediction","bin","Full Audits",402,641,402,402,253,0,TRUE,2,"Halves","Fixed Halves",11,3,67,0,0,503,254,"controle x bureau_detailed",7,133
"C3","C3: Direct top-half-target selection, valued with A3 amount prediction","bin","Desk Audits",852,1702,852,852,572,0,TRUE,2,"Halves","Fixed Halves",11,9,147,0,0,1006,505,"controle x bureau_detailed",18,294
