"scenario_id","scenario_label","selection_method","audit_type","training_rows_amount","selected_rows_2018_2019","executed_rows_2018_2019","optimized_rows_2018_2019","overlap_rows_2018_2019","rows_2020_in_table","panel_c_uses_amount_yhatrf","selected_bin_count","selected_bin_label","bin_selection_rule","total_training_lists","min_cases_per_bin","max_cases_per_bin","singleton_bins","empty_bins","bin_training_rows","high_bin_rows","target_grouping","min_executed_observed_cases_list","max_executed_observed_cases_list"
"A1","A1: Current weighted two-step amount prediction, all cases","amount","Full Audits",407,646,407,407,264,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","A1: Current weighted two-step amount prediction, all cases","amount","Desk Audits",857,1707,857,857,519,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2","A2: Weighted two-step amount prediction, excluding top five realized cases","amount","Full Audits",402,641,402,402,258,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2","A2: Weighted two-step amount prediction, excluding top five realized cases","amount","Desk Audits",852,1702,852,852,518,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3","A3: Unweighted one-step amount prediction, excluding top five realized cases","amount","Full Audits",402,641,402,402,317,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3","A3: Unweighted one-step amount prediction, excluding top five realized cases","amount","Desk Audits",852,1702,852,852,613,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","C1: Predicted above-median selection, valued with A1 amount prediction","bin","Full Audits",407,646,407,407,254,0,TRUE,2,"Above/below median","Fixed Above/below median",28,1,29,7,0,508,261,"bureau_detailed x selectionyear",2,57
"C1","C1: Predicted above-median selection, valued with A1 amount prediction","bin","Desk Audits",857,1707,857,857,564,0,TRUE,2,"Above/below median","Fixed Above/below median",147,1,13,78,19,1011,545,"inspectorclusteryear",1,26
"C2","C2: Predicted above-median selection, valued with A2 amount prediction","bin","Full Audits",402,641,402,402,249,0,TRUE,2,"Above/below median","Fixed Above/below median",28,1,29,7,0,503,258,"bureau_detailed x selectionyear",2,57
"C2","C2: Predicted above-median selection, valued with A2 amount prediction","bin","Desk Audits",852,1702,852,852,560,0,TRUE,2,"Above/below median","Fixed Above/below median",147,1,13,81,19,1006,543,"inspectorclusteryear",1,26
"C3","C3: Predicted above-median selection, valued with A3 amount prediction","bin","Full Audits",402,641,402,402,249,0,TRUE,2,"Above/below median","Fixed Above/below median",28,1,29,7,0,503,258,"bureau_detailed x selectionyear",2,57
"C3","C3: Predicted above-median selection, valued with A3 amount prediction","bin","Desk Audits",852,1702,852,852,560,0,TRUE,2,"Above/below median","Fixed Above/below median",147,1,13,81,19,1006,543,"inspectorclusteryear",1,26
